image_path,target_text
logos/20701.jpg,BOSEDEATH
logos/6592.jpg,WIDOW
logos/58527.png,TERRODROWN
logos/4231.gif,DYING EMBRACE
logos/117314.jpg,SLUTVOMIT
logos/7775.jpg,GUILLOTINE
logos/1748.jpg,POLTERGEIST
logos/45300.gif,DRAUGSANG
logos/25672.jpg,CREMASTER
logos/122062.jpg,FROSTWORK
logos/1546.jpg,MYSTIK
logos/89318.jpg,METALMORFOSIS
logos/3243.jpg,FROSTMOON ECLIPSE
logos/13745.gif,DEFLORATION
logos/39963.jpg,HANTAOMA
logos/5703.jpg,LUJURIA
logos/35715.jpg,VALSANS
logos/9531.jpg,SHADOWDANCE
logos/3411.jpg,TRUE BLACK DAWN
logos/61065.jpg,RIVERA BOMMA
logos/5960.jpg,DESDOMINUS
logos/11101.jpg,TERRORAMA
logos/37408.jpg,SULPHUR
logos/6408.jpg,REVENGE
logos/62011.jpg,AKROMUSTO
logos/618.jpg,NAGLFAR
logos/85567.jpg,MANTH
logos/47135.jpg,BLOODY CROSS
logos/84749.jpg,MISERATION
logos/127708.jpg,MITHRIDATIC
logos/68059.jpg,DEATH TOLL K
logos/2073.jpg,MYSTERIIS
logos/121562.jpg,EARTHEN
logos/20333.jpg,HOLY BLOOD
logos/1194.jpg,SHAPE OF DESPAIR
logos/18837.jpg,ARS ONIRICA
logos/9805.jpg,CARNIFIED
logos/76590.jpg,MISANTHROPE
logos/122036.jpg,MOVIMENTO DAVANGUARDIA ERMETICO
logos/88101.jpg,CAIN
logos/85438.jpg,PANDORA
logos/17213.png,CROM
logos/4268.jpg,WINTERWOLF
logos/2411.jpg,DELIRIUM TREMENS
logos/2052.gif,AJATTARA
logos/61864.jpg,WILD
logos/71514.jpg,STRIBOG
logos/6456.jpg,DUSK
logos/889.png,ROOT
logos/947.jpg,HADES ALMIGHTY
logos/55170.jpg,MOONRISE
logos/45499.jpg,EXTREMELY ROTTEN FLESH
logos/54690.png,HEIMDALLS WACHT
logos/569.jpg,DAWNBRINGER
logos/39162.jpg,INFEST
logos/40489.jpg,INFESTUS
logos/52710.jpg,WANDERER
logos/34038.jpg,SEVERE STORM
logos/121089.png,WURM
logos/82100.jpg,IMPERIAL BATTLESNAKE
logos/5041.jpg,MYSTICAL FULLMOON
logos/2824.png,MOURNFUL CONGREGATION
logos/74965.jpg,LA DAMA OSCURA
logos/69909.jpg,DYSGUSTED
logos/128388.png,YOUR KIDS ON FIRE
logos/145.jpg,VADER
logos/69416.jpg,MONIGO
logos/1047.png,THORNSPAWN
logos/29847.jpg,OJOS NEGROS
logos/1624.png,EYEHATEGOD
logos/5314.jpg,EXOUSIA
logos/2927.png,ROTTEN SOUND
logos/118666.jpg,RETALIATION
logos/77278.jpg,TRORKRVISATANSROKREH
logos/578.jpg,DETRITUS
logos/118030.jpg,NAZGUL
logos/3619.jpg,INCINERATE
logos/39161.gif,PEGASUS
logos/30475.jpg,DEWFALL
logos/13658.jpg,PROFANATION
logos/78986.jpg,GRAVE FORSAKEN
logos/27761.jpg,BABOON RISING
logos/1776.jpg,JOEY TAFOLLA
logos/16072.jpg,INSANE VESPER
logos/119106.jpg,METAL DOOM
logos/129423.jpg,CARPE NOCTEM
logos/46375.jpg,CORONATUS
logos/109564.png,UNCTORIS
logos/2656.jpg,S D I
logos/22870.jpg,SAGOTH
logos/13557.png,LOST DREAMS
logos/4572.jpg,ILIUM
logos/39918.jpg,RADIATION SICKNESS
logos/10491.png,MELANCHOLY PESSIMISM
logos/370.png,TAAKE
logos/95970.jpg,LIFELESS WITHIN
logos/7907.jpg,WOTAN
logos/11335.gif,UNCREATIONS DAWN
logos/2503.jpg,GHOULUNATICS
logos/4353.gif,BLACK CRUCIFIXION
logos/33797.jpg,DISFIGURED CORPSE
logos/119648.jpg,SYSTEM BREAKDOWN
logos/114403.jpg,DHARMA
logos/4125.jpg,DAMIEN STORM
logos/3703.jpg,ADIMIRON
logos/18152.jpg,MORDGRUND
logos/98490.png,SHADES OF DEEP WATER
logos/69506.jpg,THROUGH ART
logos/21175.jpg,WAR HEAD
logos/113039.jpg,IMMANIS
logos/14829.png,CULTUS
logos/593.jpg,MORRIGAN
logos/77245.png,APPARITION
logos/20502.jpg,SACRAMENTAL BLOOD
logos/67468.jpg,VELTHA
logos/43733.jpg,MYGRAIN
logos/74954.png,THE FACELESS
logos/346.jpg,SOILS OF FATE
logos/87200.png,GXSXD
logos/4200.jpg,ENSHADOWED
logos/126303.jpg,DRACONIS INFERNUM
logos/60882.jpg,TODESRUNE
logos/58192.jpg,BEYOND THE GRAVE
logos/3295.png,MALIGNANT TUMOUR
logos/95773.jpg,GOREVENT
logos/48266.png,THE CLASSIC STRUGGLE
logos/37130.jpg,DOWN FROM THE WOUND
logos/107825.jpg,NEFASTORETH
logos/102550.jpg,DOOMRIDERS
logos/72847.jpg,FUNERARY PIT
logos/5127.jpg,BLASTHRASH
logos/2309.png,ORPHANED LAND
logos/68449.jpg,BRUMA OBSCURA
logos/9453.jpg,NOOTHGRUSH
logos/77060.jpg,ATOMIC ROAR
logos/1682.jpg,MARTY FRIEDMAN
logos/100463.jpg,DAVE JUSTO
logos/19021.jpg,DYSENTERY
logos/16486.jpg,SKELETON OF GOD
logos/34256.jpg,HALCYON WAY
logos/1124.png,GORGUTS
logos/4943.gif,ASMODEUS
logos/19596.png,URFAUST
logos/76716.jpg,THE ARCANE ORDER
logos/1034.png,POEMA ARCANVS
logos/9876.jpg,RITUAL DAY
logos/6414.jpg,ZAMAK
logos/58243.jpeg,ELECTROZOMBIES
logos/72281.jpg,RAPTURE
logos/3844.jpg,SILVER MOUNTAIN
logos/97057.jpg,ETRUSGRAVE
logos/32861.png,SCAR SYMMETRY
logos/103340.jpg,DARKEND
logos/74137.jpg,HABORYN
logos/14405.png,SIL KHANNAZ
logos/10756.jpg,WORSTENEMY
logos/123003.jpg,POWERWORLD
logos/12179.gif,BLASPHEMOUS NOISE TORMENT
logos/92600.jpg,THIRD STORM
logos/1241.jpg,FOREST OF SHADOWS
logos/342.jpg,U D O
logos/119631.jpg,FORMLESS TERROR
logos/18153.jpg,DISASTER
logos/117162.jpg,HALLOWED BUTCHERY
logos/3015.jpg,HARD TIME
logos/83077.jpg,WOODS OF DESOLATION
logos/25143.jpg,DEVIL ON EARTH
logos/231.png,AND OCEANS
logos/82808.jpg,INSIDIOUS OMEN
logos/1393.jpg,SIRENIA
logos/3517.png,ANARCHUS
logos/83657.jpg,IN UTERO CANNIBALISM
logos/71470.png,SABHANKRA
logos/102578.png,VASSLINE
logos/44388.jpg,CONCEIVED BY HATE
logos/85588.jpg,BROKEL
logos/18980.jpg,HECATOMB
logos/9465.jpg,UNIAO
logos/4967.jpg,INFESTUM
logos/9081.jpg,CREBAIN
logos/126199.jpg,GOLGATHA
logos/268.png,PENTAGRAM
