image_path,target_text,tier,genre,split,reason
logos/19934.jpg,DARKTHULE,mid,black,train,train
logos/8647.jpg,BRIGHT OPHIDIA,mid,progressive,train,train
logos/9232.jpg,KILLHARMONIC,mid,death,train,train
logos/11723.jpg,FUNEBRARUM,mid,death,train,train
logos/3705.jpg,DIVINE EVE,famous_ish,death,train,train
logos/19500.jpg,F T G,mid,thrash,train,train
logos/24731.jpg,SHAMBLESS,mid,death,train,train
logos/72107.jpg,VANAGLORIA,obscure,power,train,train
logos/7714.jpg,MERRIMACK,mid,black,train,train
logos/1085.png,OHTAR,famous_ish,black,train,train
logos/1949.jpg,SEVERANCE,famous_ish,death,train,train
logos/104365.jpg,CEMETERY URN,obscure,death,train,train
logos/12581.jpg,MALIGN,mid,black,train,train
logos/41548.jpg,XASTUR,mid,death,train,train
logos/76132.jpg,EVILS ATTACK,obscure,death,train,train
logos/129953.jpg,VINTERTHRON,obscure,black,train,train
logos/124710.jpg,CIRUGIA MACABRA,obscure,death,train,train
logos/13718.jpg,HIEMS,mid,black,train,train
logos/126117.jpg,PANOPTICON,obscure,black,train,train
logos/9299.jpg,RWAKE,mid,doom,train,train
logos/35661.jpg,OBDURATED,mid,thrash,train,train
logos/319.jpg,VOMITORY,famous_ish,death,train,train
logos/11534.jpg,LUROR,mid,black,train,train
logos/11808.jpg,GORGON,mid,black,train,train
logos/3191.jpg,ANDRAS,famous_ish,black,train,train
logos/24704.png,COMMUNIC,mid,heavy,train,train
logos/94685.jpg,DISJONKTATION,obscure,death,train,train
logos/81862.jpg,EXALTATION,obscure,death,train,train
logos/119624.jpg,TOTAL NEGATION,obscure,black,train,train
logos/6554.jpg,LEVIATHAN,mid,black,train,train
logos/16442.jpg,FARMER BOYS,mid,gothic,train,train
logos/3108.jpg,GODLESS TRUTH,famous_ish,death,train,train
logos/1238.jpg,INFERNAL MAJESTY,famous_ish,thrash,train,train
logos/15609.jpg,MALEFICARUM,mid,black,train,train
logos/4204.jpg,MORGAIN,famous_ish,doom,train,train
logos/49727.png,DUALITY,mid,death,train,train
logos/20049.jpg,SQUADRON,mid,death,train,train
logos/54362.jpg,IN INFERNAL WAR,mid,black,train,train
logos/84111.gif,DEATHRONATION,obscure,death,train,train
logos/14817.jpg,TYRANNY,mid,doom,train,train
logos/28478.jpg,BAEKDOOSAN,mid,thrash,train,train
logos/14893.jpg,WARBUTCHER,mid,death,train,train
logos/64125.jpg,BENIGHTED IN SODOM,mid,black,train,train
logos/16411.jpg,LUTEMKRAT,mid,black,train,train
logos/102731.jpg,DR LIVING DEAD,obscure,thrash,train,train
logos/6436.jpg,DISINTER,famous_ish,death,train,train
logos/2277.jpg,STAR ONE,famous_ish,progressive,train,train
logos/17795.gif,DRUNK HORSE,mid,progressive,train,train
logos/9085.png,RAM,mid,heavy,train,train
logos/7736.jpg,OCULTAN,mid,death,train,train
logos/5161.jpg,ON THORNS I LAY,famous_ish,death,train,train
logos/34862.jpg,BLUDGEON,mid,death,train,train
logos/14859.jpg,A GRUESOME FIND,mid,death,train,train
logos/129350.jpg,KEITZER,obscure,death,train,train
logos/37604.jpg,DESPONDENT CHANTS,mid,death,train,train
logos/4861.png,ULCERATE,famous_ish,death,train,train
logos/70834.jpg,ENOID,obscure,black,train,train
logos/99659.jpg,LUNATIC AFFLICTION,obscure,black,train,train
logos/7837.jpg,FACEBREAKER,mid,death,train,train
logos/993.jpg,TUATHA DE DANANN,famous_ish,folk,train,train
logos/10090.jpg,NOCTERNITY,mid,black,train,train
logos/9363.jpg,GOLEM,mid,death,train,train
logos/64862.jpg,SONDOR,mid,black,train,train
logos/1943.jpg,SIKFUK,famous_ish,death,train,train
logos/5965.jpg,WWIII,famous_ish,heavy,train,train
logos/112090.jpg,BLUT UND BODEN,obscure,black,train,train
logos/16302.png,BRAINOIL,mid,sludge,train,train
logos/22802.jpg,NECROART,mid,death,train,train
logos/57321.jpg,PALACE,mid,heavy,train,train
logos/1149.jpg,PYOGENESIS,famous_ish,death,train,train
logos/26117.gif,NECROMESSIAH,mid,black,train,train
logos/2146.png,MEMORY GARDEN,famous_ish,power,train,train
logos/43175.jpg,ARMAGEDDON,mid,progressive,train,train
logos/3316.jpg,NODE,famous_ish,death,train,train
logos/90286.jpg,XANADOO,obscure,thrash,train,train
logos/11821.jpg,PRIME EVIL,mid,death,train,train
logos/2143.jpg,RAGNAROK,famous_ish,black,train,train
logos/1222.jpg,ILLDISPOSED,famous_ish,death,train,train
logos/47793.png,BLASTING HATRED,mid,death,train,train
logos/365.jpeg,PARAGON,famous_ish,power,train,train
logos/1692.jpg,ZED YAGO,famous_ish,heavy,train,train
logos/28773.jpg,MORTAL WISH,mid,black,train,train
logos/6397.jpg,MOON,obscure,black,train,train
logos/22797.jpg,THRYMHEYM,mid,black,train,train
logos/139.png,NILE,famous_ish,death,train,train
logos/18690.jpg,REUNION,mid,black,train,train
logos/128267.jpg,RATO RARO,obscure,death,train,train
logos/22498.jpg,TESSTIMONY,mid,death,train,train
logos/9344.jpg,DRUDKH,mid,black,train,train
logos/2005.gif,AXEMASTER,famous_ish,power,train,train
logos/26.png,SOILWORK,famous_ish,death,train,train
logos/39251.jpg,STORMCHILD,mid,nwobhm,train,train
logos/57247.jpg,SUICIDE SOLUTION,mid,black,train,train
logos/1383.gif,FANTOMAS,famous_ish,avant-garde,train,train
logos/45092.jpg,HOUSEBREAKING,mid,groove,train,train
logos/17165.jpg,KAMIKAZE,mid,heavy,train,train
logos/4547.jpg,SEBASTIAN BACH,famous_ish,heavy,train,train
logos/13227.gif,PURGATORY,mid,death,train,train
logos/87314.jpg,SAVAOTH,obscure,black,train,train
logos/38784.jpg,GRIMFAITH,mid,doom,train,train
logos/2177.jpg,DEMONCY,famous_ish,black,train,train
logos/43778.png,ABOMINABLE PUTRIDITY,mid,death,train,train
logos/11844.jpg,MORTIFERA,mid,black,train,train
logos/32822.jpg,LALU,mid,progressive,train,train
logos/61680.png,BARBAROUS POMERANIA,mid,black,train,train
logos/12643.png,GRAUPEL,mid,black,train,train
logos/2011.jpg,FATES PROPHECY,famous_ish,heavy,train,train
logos/75969.jpg,ETHEREAL TRAGEDY,obscure,death,train,train
logos/25796.jpg,DEVIATED INSTINCT,mid,death,train,train
logos/22392.jpg,WISDOM,mid,black,train,train
logos/5858.jpg,NEMESIS,famous_ish,thrash,train,train
logos/98166.jpg,MARTHYRIUM,obscure,black,train,train
logos/7503.jpg,REALM OF CARNIVORA,mid,black,train,train
logos/69694.jpg,LASCOWIEC,obscure,black,train,train
logos/42392.jpg,DANIELE LIVERANI,mid,progressive,train,train
logos/85981.jpg,ENORMOUS,obscure,death,train,train
logos/99066.png,ALKERDEEL,obscure,black,train,train
logos/11329.jpg,DARKENED NOCTURN SLAUGHTERCULT,mid,black,train,train
logos/1709.jpg,QUIET RIOT,famous_ish,heavy,train,train
logos/39378.jpg,PAGANFIRE,mid,thrash,train,train
logos/32379.jpg,THE LAST KNELL,mid,black,train,train
logos/94743.jpg,STRIX,obscure,black,train,train
logos/4483.jpg,CATHETER,famous_ish,death,train,train
logos/30.png,EMPEROR,famous_ish,black,train,train
logos/85650.jpg,RAGGRADARH,obscure,black,train,train
logos/604.jpg,FATES WARNING,famous_ish,power,train,train
logos/800.gif,TT QUICK,famous_ish,heavy,train,train
logos/32799.png,AGRYPNIE,mid,black,train,train
logos/17630.jpg,CORRUPTED,mid,doom,train,train
logos/34901.jpg,SKAUR,mid,black,train,train
logos/20462.jpg,EVILWINGED,mid,black,train,train
logos/45496.jpg,SOCIAL SHIT,mid,death,train,train
logos/95812.jpg,OBSCURE,obscure,black,train,train
logos/65918.jpg,PHELAN,obscure,heavy,train,train
logos/19315.jpg,THY ENDLESS WRATH,mid,black,train,train
logos/39397.jpg,MAZE OF EXTERMINATION,mid,death,train,train
logos/84711.jpg,ANOMALOUS,obscure,death,train,train
logos/24313.gif,SATOR MARTE,mid,black,train,train
logos/4277.jpg,DOOMED AND DISGUSTING,famous_ish,black,train,train
logos/30749.png,EWIGHEIM,mid,gothic,train,train
logos/192.jpg,SONATA ARCTICA,famous_ish,power,train,train
logos/34123.jpg,MORS SUBITA,mid,death,train,train
logos/30048.jpg,PROCAOS,mid,death,train,train
logos/8939.jpg,MORBID SAINT,mid,thrash,train,train
logos/2326.jpg,KENZINER,famous_ish,power,train,train
logos/45459.gif,MECHANICAL CHAOS,mid,death,train,train
logos/58778.jpg,GRAND NOCTURNE,mid,black,train,train
logos/43664.jpg,HELLISH CROSSFIRE,mid,thrash,train,train
logos/43946.gif,FAST TAKER,mid,heavy,train,train
logos/4379.png,CENOTAPH,famous_ish,death,train,train
logos/1057.jpg,FINAL BREATH,famous_ish,death,train,train
logos/14465.jpg,BLIZZARD,mid,black,train,train
logos/6898.jpg,SACRED SIN,mid,death,train,train
logos/21557.png,NECROMANCY,mid,death,train,train
logos/20106.png,ANDI DERIS AND THE BAD BANKERS,mid,heavy,train,train
logos/12892.jpg,HATEFUL,mid,black,train,train
logos/121093.gif,PULMONARY FIBROSIS,obscure,death,train,train
logos/38227.jpg,AMPUTATED GENITALS,mid,death,train,train
logos/8241.jpg,ALOGIA,mid,power,train,train
logos/19404.png,SOULBURNER,mid,death,train,train
logos/109935.jpg,PROSPERITY DENIED,obscure,death,train,train
logos/32797.jpg,GARDEN OF WORM,mid,progressive,train,train
logos/23896.jpg,INCARNATUS,mid,death,train,train
logos/13788.jpg,EMINENT SHADOW,mid,death,train,train
logos/8131.jpg,FUNEREAL MOON,mid,black,train,train
logos/1062.jpg,KORZUS,famous_ish,thrash,train,train
logos/54633.jpg,REDIMONI,mid,thrash,train,train
logos/59906.png,SWITCHBLADE,mid,thrash,train,train
logos/104107.jpg,ARTEP,obscure,black,train,train
logos/27710.jpg,CALLISTO,mid,hard,train,train
logos/51277.png,EXULTET,mid,black,train,train
logos/54905.jpg,SOLARWARD,mid,black,train,train
logos/127023.jpg,PROVOCATION,obscure,death,train,train
logos/21823.jpg,APOSTASY,mid,black,train,train
logos/65176.jpg,EVISCERATED,obscure,death,train,train
logos/63903.jpg,SPOIL ENGINE,mid,death,train,train
logos/5283.jpg,YYRKOON,famous_ish,death,train,train
logos/111377.jpg,WICKED MINDS,obscure,thrash,train,train
logos/3579.jpg,TRAUMA,famous_ish,death,train,train
logos/1886.jpg,PARALEX,famous_ish,nwobhm,train,train
logos/82952.jpg,SELVMORRD,obscure,black,train,train
logos/15041.jpg,THE VISION BLEAK,mid,gothic,train,train
logos/34244.png,EKOVE EFRITS,mid,black,train,train
logos/28743.jpg,DISGUST,mid,death,train,train
logos/104.jpg,ENSLAVED,famous_ish,black,train,train
logos/118139.png,SWEET CICADA,obscure,doom,train,train
logos/2532.jpg,MYTHOLOGICAL COLD TOWERS,famous_ish,death,train,train
logos/36304.jpg,LILITHS MORTUARY,mid,death,train,train
logos/69700.jpg,CRAZY LAZY,obscure,heavy,train,train
logos/167.jpg,MACABRE,famous_ish,death,train,train
logos/40722.jpg,INSULTER,mid,death,train,train
logos/25674.jpg,PROFEZIA,mid,black,train,train
logos/6970.jpg,SANATORIUM,mid,thrash,train,train
logos/16821.png,ZMROK,mid,black,train,train
logos/89736.jpg,ISHI,obscure,death,train,train
logos/63438.jpg,MONS VENERIS,mid,black,train,train
logos/83244.jpg,MUCOUS SCROTUM,obscure,black,train,train
logos/19475.jpg,CRANIOTOMY,mid,death,train,train
logos/8553.jpg,HORTUS ANIMAE,mid,black,train,train
logos/2682.jpg,PHLEBOTOMIZED,famous_ish,death,train,train
logos/7765.jpg,BULLET,mid,heavy,train,train
logos/4217.gif,PSYPHERIA,famous_ish,death,train,train
logos/121444.jpg,REPOSSESSION,obscure,death,train,train
logos/5195.jpg,THE ELYSIAN FIELDS,famous_ish,death,train,train
logos/43467.jpg,INFERNAL NATURE,mid,black,train,train
logos/1017.jpg,ELEND,famous_ish,dark,train,train
logos/79463.gif,ROB JOHNSON,obscure,progressive,train,train
logos/19717.jpg,DORMANTH,mid,death,train,train
logos/881.png,PSYCHOTIC WALTZ,famous_ish,progressive,train,train
logos/1357.jpg,SATARIEL,famous_ish,death,train,train
logos/8193.jpg,KORGONTHURUS,mid,black,train,train
logos/11886.png,SIX DEGREES OF SEPARATION,mid,thrash,train,train
logos/31223.jpg,EMBLAZONED,mid,death,train,train
logos/8439.jpg,KILL,mid,death,train,train
logos/85907.jpg,ERUPTION,obscure,thrash,train,train
logos/4931.jpg,TEMPLE OF BAAL,famous_ish,death,train,train
logos/101228.gif,VEXILLUM,obscure,power,train,train
logos/3209.jpg,AZAZEL,famous_ish,black,train,train
logos/3485.jpg,MIRRORTHRONE,famous_ish,death,train,train
logos/20168.jpg,INFERNUS,mid,black,train,train
logos/75263.jpg,DAEMONICUS,obscure,death,train,train
logos/112299.png,MAIEUTISTE,obscure,black,train,train
logos/16905.jpg,SABBRABELLS,mid,heavy,train,train
logos/94966.png,CARCHARODON,obscure,death,train,train
logos/26508.jpg,ANIMALS KILLING PEOPLE,mid,death,train,train
logos/2801.jpg,PHARAOH,famous_ish,power,train,train
logos/103951.jpg,HANGMANS CHAIR,obscure,doom,train,train
logos/16778.jpg,BOB CATLEY,mid,heavy,train,train
logos/24494.gif,W E B,mid,gothic,train,train
logos/26608.jpg,ANGER AS ART,mid,thrash,train,train
logos/84110.jpg,FRAGILE ART,obscure,death,train,train
logos/63770.jpg,ABISMO DE LUCIFER,mid,black,train,train
logos/46342.jpg,FOUL STENCH,mid,death,train,train
logos/23918.jpg,DAVID T CHASTAIN,mid,heavy,train,train
logos/29052.jpg,ANNTHENNATH,mid,black,train,train
logos/32461.jpg,SINFUL,mid,black,train,train
logos/65578.jpg,STEVE VON TILL,obscure,folk,train,train
logos/4512.jpg,THE CLAYMORE,famous_ish,power,train,train
logos/56041.jpg,PALE HORSE,mid,death,train,train
logos/129383.jpg,EXPEDITION DELTA,obscure,progressive,train,train
logos/14934.jpg,THORNIUM,mid,black,train,train
logos/77211.png,KOMMANDANT,obscure,death,train,train
logos/78742.jpg,SILVERTRAIN,obscure,heavy,train,train
logos/24440.png,VAHRZAW,mid,death,train,train
logos/11615.gif,PARIA,mid,black,train,train
logos/54085.jpg,BANISHER,mid,death,train,train
logos/6491.jpg,UNAUSSPRECHLICHEN KULTEN,famous_ish,death,train,train
logos/55379.png,BALFOR,mid,death,train,train
logos/7321.jpg,SACRILEGIUM,mid,black,train,train
logos/32074.jpg,KRAMP,mid,heavy,train,train
logos/10837.jpg,CONTAMINO,mid,black,train,train
logos/69453.png,LO RUHAMAH,obscure,death,train,train
logos/64557.jpg,CRIPTA OCULTA,mid,black,train,train
logos/7501.png,MEADOWS END,mid,death,train,train
logos/6305.jpg,UNSANCTIFIED,famous_ish,death,train,train
logos/87707.jpg,GALERNA,obscure,death,train,train
logos/12941.jpg,OVERLORD,mid,heavy,train,train
